query,engine,capture_date,serp_position,ranking_domain,ranking_url,page_type,title_observed,word_count_estimate,service_specificity,local_evidence,case_studies,reviews,pricing_visibility,faqs,structured_data_observed,cta,content_weakness,information_gain_opportunity
seo agency in surat,DuckDuckGo,2026-09-01,1,goodfirms.co,goodfirms.co/seo-agencies/surat,directory,"Top SEO Companies in Surat - 2026 Rankings",n/a,high,local (Surat filter),verified reviews core,client reviews,price ranges for listed agencies,no,unknown,contact listed agencies,Directory — ranks by review volume,DataDecision should earn a GoodFirms Surat/Ahmedabad profile with real reviews (see authority plan) rather than fight the directory with a self-listicle
seo agency in surat,DuckDuckGo,2026-09-01,2,seocompanysurat.in,seocompanysurat.in,local agency,"SEO Company in Surat | #1 Local SEO Agency for Businesses | Free SEO Audit",~1000,high (GBP/local SEO focus),Surat address implied,"#1" claim,none visible,free audit,yes,unknown,free audit + WhatsApp-style,"#1" claim + free-audit funnel; thin methodology,If Surat page approved: differentiate on technical+AI-search depth (nicodigital editorial itself notes the gap) + measurement-first evidence; never claim "#1"
seo agency in surat,DuckDuckGo,2026-09-01,4,sortlist.com,sortlist.com/seo/surat-in,directory,"The 10 Best SEO Agencies in Surat - 2026 Reviews",n/a,high,local,curated list,client reviews,none,no,unknown,matchmaking,Directory
seo agency in surat,DuckDuckGo,2026-09-01,7,thatware.co,thatware.co/seo-services-surat/,agency service page,"SEO, AEO, GEO, LLM & AI Search Optimisation Services in Surat",~2500,high,Surat page with full service stack,none visible,none,none,yes,unknown,contact,Advanced-service keyword coverage but thin local market substance (city name in URL/title),If page ships: genuine Surat market analysis (manufacturing/export economy digital-adoption context with dated sources) + honest remote framing beats keyword-plated competitor pages
seo agency in surat,DuckDuckGo,2026-09-01,8,vertexdigitalservices.in,vertexdigitalservices.in/seo-agency-surat/,agency service page,"Best SEO Agency in Surat - Vertex Digital Services",~1200,high,Surat,Gujarat positioning,none,none,yes,unknown,contact,"Best" self-claim; AI-powered buzzwords,Claim discipline differentiates
seo agency in dubai,DuckDuckGo,2026-09-01,1,goodfirms.co,goodfirms.co/seo-agencies/dubai,directory,"Best SEO Companies in Dubai - 2026 Rankings",n/a,high,Dubai,verified reviews,client reviews,price ranges,no,unknown,contact listed,Directory dominates — third-party profile strategy required before any Dubai page could work
seo agency in dubai,DuckDuckGo,2026-09-01,2,seosherpa.com,seosherpa.com/locations/dubai/,agency city page,"SEO Dubai Brands Trust // SEO SHERPA™ • Global #1 Agency",~3000,high,Dubai address,"400 clients/27 experts/award" claims,extensive platform reviews,none,yes,unknown,free proposal,Massive authority + proof stack a new remote agency cannot match,Rejected for 90 days — confirmed
seo agency in dubai,DuckDuckGo,2026-09-01,9,clutch.co,clutch.co/ae/seo-firms/dubai,directory,"Top SEO Companies in Dubai - Aug 2026 Rankings",n/a,high,Dubai,verified reviews core,client reviews,none,no,unknown,contact listed,Clutch Dubai profile is the realistic Dubai play (free to start) — see authority plan
ga4 consultant,DuckDuckGo,2026-09-01,1,datavinci.services,datavinci.services/ga4-consultants/,consultancy service page,"Certified GA4 Consultants - DataVinci & Growth",~1500,high (certification-led),India-based,Certification emphasis,none visible,none,yes,unknown,book call,Certification-led but no public methodology; solo-founder comparable (Arshad Advisory also 1-person),DataDecision measurement-foundation page + 14 GA4 insights is deeper content than any captured competitor; retitle adds the missing phrase
ga4 consultant,DuckDuckGo,2026-09-01,7,arshadadvisory.com,arshadadvisory.com,solo consultancy,"Marketing Analytics Consultant | GA4, GTM & Attribution — Arshad Advisory",~800,high,none,none,none,free audit,yes,unknown,free audit,Short page ranking for a commercial query — SERP is winnable with deeper content,Confirmed realistic target for /services/measurement-foundation/ retitle
why is my website not ranking on google,DuckDuckGo,2026-09-01,1,seo.com,seo.com/blog/site-not-showing-up-on-google/,guide,"Why Your Website Isn't Show Up on Google (And How to Fix)",~3000,medium,none,none,none,none,yes,unknown,newsletter,Broad listicle; title typo suggests editorial looseness,Technical-access-verification-checklist + demo-requests-dropped-rankings-flat give DataDecision a genuinely different angle: ranking-vs-pipeline triage
why is my website not ranking on google,DuckDuckGo,2026-09-01,7,searchengineland.com,searchengineland.com/why-page-isnt-ranking-google-438882,guide (high authority),"16 reasons why your page isn't ranking on Google",~2500,medium,none,none,none,none,yes,unknown,newsletter,Authoritative but generic enumeration,Don't fight head-on: own the long-tail (even after SEO; traffic but no leads) where the measurement-first angle is unique
seo agency for manufacturing companies india,DuckDuckGo,2026-09-01,2,cyndigi.in,cyndigi.in/seo-agency-for-manufacturers-in-india/,industry page,"Expert SEO Agency for Manufacturers in India",~1500,high,India,none,none,none,yes,unknown,contact,Generic industry template,If industry page approved: Surat-manufacturing specificity (diamond/textile export economy) is the differentiator no captured competitor has
seo agency for dental clinics,DuckDuckGo,2026-09-01,1,seo.com,seo.com/companies/dental/,listicle,"15 of the Best Dental SEO Companies (2026 Rankings)",n/a,high,none,agency shortlist,platform reviews,none,yes,unknown,contact listed,Dental = listicle+dental-specialist-agency+local-pack market,Rejected cluster confirmed: no GBP + no healthcare credibility + listicle wall
