keyword,cluster,country,city,language,intent,funnel_stage,search_volume,cpc,keyword_difficulty,serp_type,current_ranking,current_url,proposed_url,primary_secondary,opportunity_score,priority,page_type,evidence_source,confidence,notes
ai search visibility agency,ai-search-visibility,global,,en,commercial-investigation,bottom,unavailable,unavailable,low,organic agencies,not verified in GSC,,/services/ai-search-visibility/,secondary,66,Now,service,autocomplete (ai search visibility agency returned as suggestion),high,Exact-match to existing service; low competition; terminology the site already owns
ai visibility audit,ai-search-visibility,global,,en,commercial-investigation,bottom-mid,unavailable,unavailable,medium,organic tools+agencies,not verified in GSC,,/services/ai-search-visibility/#audit or insight upgrade,secondary,72,Now,service,autocomplete full chain (tool/free/search/brand variants),high,DDG SERP: free tools (aivisitaudit.com/searchless/govisible) + Ahrefs guide + agency services; homepage CTA already says Free AI Visibility Audit; consider dedicated audit-scope section answering this query with free-tool comparison
how to appear in chatgpt recommendations,ai-visibility-education,global,,en,informational,top,unavailable,unavailable,medium,organic guides,not verified in GSC,,/insights/how-to-rank-and-get-recommended-by-ai/ (retitle),primary,76,Now,guide,autocomplete (seed returned suggestions); DDG SERP captured: seo.com/aiclicks/citaition/1digital/refractia/trakkr/vizbiz/usegrowthos/impactplus,high,Existing insight is the natural owner; SERP competitors are generic tip-lists; DataDecision can beat them with method-grade answer; retitle toward the exact question
how to get recommended by chatgpt,ai-visibility-education,global,,en,informational,top,unavailable,unavailable,medium,organic guides,not verified in GSC,,/insights/how-to-rank-and-get-recommended-by-ai/,secondary,70,Now,guide,autocomplete (head suggestion returned),high,Word-order variant of above; same owner page
seo vs ai search budget allocation,ai-visibility-education,global,,en,informational,mid,unavailable,unavailable,low,organic guides,not verified in GSC,,/insights/seo-vs-ai-search-budget-allocation/ (exists),primary,65,Now,guide,existing insight + internal research map 28 Aug 2026,high,Already published as P0 article; keep as informational owner feeding /services/ai-search-visibility/
why is my website not ranking on google,seo-education,global,,en,informational,top,unavailable,unavailable,high,organic guides,not verified in GSC,,/insights/technical-access-verification-checklist/ (retitle/expand) or new triage guide,secondary,58,Next,guide,autocomplete full chain (why is my website not ranking/how to check),high,High-difficulty head query; DDG SERP = seo.com/searchengineland/yoast + generic fix-lists; DataDecision angle: diagnostic-first triage tied to its own checklist; realistic at long-tail only
why isn't my website ranking,seo-education,global,,en,informational,top,unavailable,unavailable,medium,organic guides,not verified in GSC,,same owner as above,secondary,55,Next,guide,autocomplete adjacent,medium,
website not ranking even after seo,seo-education,global,,en,informational,top,unavailable,unavailable,medium,organic guides,not verified in GSC,,same owner as above,secondary,60,Next,guide,autocomplete (why your website is not ranking on google even after seo),high,Sharper sub-query; stronger fit for measurement-first framing (traffic rose demos flat is a house speciality)
seo agency in surat,seo-city-in,IN,Surat,en,commercial-investigation,bottom,unavailable,unavailable,high,organic local agencies+directories,not verified in GSC,,—,candidate,52,Later,city,autocomplete full chain (seo company/seo services/best/local/digital marketing variants),high,Founder city-adjacent (NIT Surat); DDG SERP: GoodFirms/Sortlist listicles + local agencies incl. thatware (already sells AI/SEO/GEO/AEO Surat services) — competitive; gate behind service-page traction; honest remote framing required; see city-opportunity-analysis.csv
seo company in surat,seo-city-in,IN,Surat,en,commercial-investigation,bottom,unavailable,unavailable,high,organic local,not verified in GSC,,—,candidate,50,Later,city,autocomplete (seo company in surat),high,Same gate
digital marketing agency in surat,seo-city-in,IN,Surat,en,commercial-investigation,bottom,unavailable,unavailable,high,organic local+directories,not verified in GSC,,—,candidate,44,Later,city,autocomplete (digital marketing agency in surat),high,Broader than positioning; only if Surat page approved and framed as growth/SEO not generic digital marketing
seo agency in ahmedabad,seo-city-in,IN,Ahmedabad,en,commercial-investigation,bottom,unavailable,unavailable,high,organic local+directories,not verified in GSC,,—,candidate,48,Later,city,autocomplete full chain,high,Gujarat adjacency; same gates
seo agency in mumbai,seo-city-in,IN,Mumbai,en,commercial-investigation,bottom,unavailable,unavailable,high,organic local+directories,not verified in GSC,,—,candidate,46,Later,city,autocomplete full chain,high,See city analysis
seo agency in dubai,seo-city-ae,AE,Dubai,en,commercial-investigation,bottom,unavailable,unavailable,high,organic directories+local agencies,not verified in GSC,,—,candidate,40,Later,city,autocomplete full chain (marina/uae variants),high,DDG SERP: GoodFirms/Clutch/10SEOS + big local agencies (SEO Sherpa/Global Media Insight) + 'guaranteed results' claims; very competitive + GBP-local-pack dominant; remote page only; lowest priority of the candidates
seo agency for d2c brands / digital marketing agency for d2c brands,d2c-performance,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies+listicles,not verified in GSC,,—,reject,38,Reject,industry,autocomplete (digital marketing agency for d2c brands head suggestion),high,Autocomplete shows demand but site has zero D2C credibility/content; rejected until SaaS vertical proves model; revisit Later after evidence
performance marketing agency for d2c brands,d2c-performance,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,—,reject,38,Reject,industry,autocomplete full chain,high,Same as above
ga4 consultant,ga4-measurement,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic consultancies,not verified in GSC,,/services/measurement-foundation/,primary,79,Now,service,autocomplete (ga4 consultant + ga4 consultant london),high,Exact service phrase missing from site; DDG SERP: DataVinci/Arshad Advisory/pilotdigital + Google docs; several competitors are solo consultants — realistic SERP for founder-led firm; 44 GA4/measurement insights = deep supporting cluster
ga4 consulting,ga4-measurement,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic consultancies,not verified in GSC,,/services/measurement-foundation/,secondary,75,Now,service,autocomplete (goodish agency GA4 consulting pages rank; variant captured via SERP),high,Variant
ga4 attribution consultant,ga4-measurement,global,,en,commercial-investigation,bottom,unavailable,unavailable,low-medium,organic consultancies,not verified in GSC,,/services/measurement-foundation/,secondary,70,Next,service,autocomplete empty for exact seed; SERP evidence (DDG: goodish/agentic variants),medium,Narrower; house speciality (attribution-assumption-register/ga4-vs-crm-lead-reconciliation insights exist); lower volume but high fit
marketing analytics consulting,ga4-measurement,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic consultancies,not verified in GSC,,/services/measurement-foundation/,secondary,68,Next,service,SERP-only evidence (Arshad Advisory positions this phrase),medium,Broader variant; use in copy
cro agency for saas,cro-saas,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ (CRO section anchor) — no standalone page yet,secondary,56,Later,service,autocomplete (cro agency for saas),high,Autocomplete confirms the phrase; existing conversion-lifecycle service block covers scope; dedicated page only after SaaS SEO page proves the model
website development and seo company,webdev-seo,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/#web-seo-ai-visibility (improve block) — dedicated /services/website-development-seo/ candidate,secondary,64,Later,service,autocomplete full chain (website design and seo company/services variants),high,Services block 02 already sells this exact combination; India-modified variants exist (dd hint from seo-services-in-surat chains); candidate for a dedicated combined-service page after core two ship
marketing agency for saas / marketing agency for b2b saas,b2b-saas-agency,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies+listicles,not verified in GSC,,/services/ (overview) secondary fit,secondary,58,Later,service,autocomplete full chain (best/content/email/reddit/google-ads variants),high,Broader than SEO positioning; natural secondary for /services/ copy; not a dedicated page
b2b saas marketing agency india,b2b-saas-agency,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ (India paragraph),secondary,60,Later,service,autocomplete adjacency (saas seo agency in india),medium,Variant with market modifier
ai agent development company,ai-agents,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic dev shops,not verified in GSC,,—,reject,40,Later,service,not captured this session (no autocomplete demand captured),low,Services block 05 exists but no search evidence captured; defer until founder confirms delivery capacity + demand evidence; low confidence flagged honestly
ai integration consulting,ai-agents,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic consultancies,not verified in GSC,,—,reject,40,Later,service,not captured this session,low,Same deferral
seo for manufacturing companies surat / seo agency for manufacturing in surat,manufacturing-seo,IN,Surat,en,commercial-investigation,bottom,unavailable,unavailable,low-medium,organic agencies,not verified in GSC,,—,reject,47,Later,industry,autocomplete (seo agency for manufacturing in surat) — captured in surat chains,high,Unique local-industry angle: Surat = diamond/textile manufacturing hub; existing demand-generative India budget content partially relevant; strong candidate for the FIRST industry page if Surat vertical approved; competitor landscape thin (DDG: generic India manufacturing SEO pages)
seo agency for manufacturing companies,manufacturing-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies+listicles,not verified in GSC,,—,reject,45,Later,industry,autocomplete (seo agency for manufacturing companies),high,India-heavy results (DDG captured: xsquareseo/cyndigi/wildnet/yugtechnology + listicles); moderately weak results; candidate industry #2
seo agency for dental clinics / dental seo,healthcare-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,high,organic listicles+agencies,not verified in GSC,,—,reject,28,Reject,industry,autocomplete (seo for dental clinics chain + seo agency for dental clinics),high,Rejected: hyper-competitive listicle SERP (seo.com/designrush/firstpagesage/loopex captured) + GBP/local-pack dominance + zero healthcare credibility; local-search dependent (GBP) which requires physical presence — fails operating rule 7 path
seo for study abroad consultants,education-seo,IN,,en,commercial-investigation,bottom,unavailable,unavailable,low,organic agencies,not verified in GSC,,—,reject,35,Reject,industry,autocomplete returned no suggestions (seed not confirmed),low,No demand evidence captured; zero content; reject
seo agency for immigration consultants,immigration-seo,IN,,en,commercial-investigation,bottom,unavailable,unavailable,low,organic agencies,not verified in GSC,,—,reject,35,Reject,industry,autocomplete empty,low,Same
best marketing agency in [city],generic-agency,IN,any,en,commercial-investigation,bottom,unavailable,unavailable,high,listicle+directory+maps,not verified in GSC,,—,reject,20,Reject,comparison,autocomplete (best marketing agency in surat),high,Rejected per operating rules: listicle/directory/maps dominance; earn third-party platform presence instead (Clutch/GoodFirms) — see authority-building-plan.md
